ItemNum,Description,Fee,DerivedFee
3,"Professional attendance at consulting rooms (other than a service to which another item applies) by a general practitioner for an obvious problem characterised by the straightforward nature of the task that requires a short patient history and, if required, limited examination and management-each attendance",20.05,
4,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies) that requires a short patient history and, if necessary, limited examination and management-an attendance on one or more patients at one place on one occasion-each patient",,"The fee for item 3, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 3 plus $2.45 per patient."
23,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in this Schedule applies), lasting at least 6 minutes and less than 20 minutes and including any of the following that are clinically relevant:(a) taking a patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health-related issues, with appropriate documentation",43.90,
24,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 6 minutes and less than 20 minutes and including any of the following that are clinically relevant:(a) taking a patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health-related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",,"The fee for item 23, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 23 plus $2.45 per patient."
36,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in the table applies), lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-each attendance",84.90,
37,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies), lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-an attendance on one or more patients at one place on one occasion-each patient",,"The fee for item 36, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 36 plus $2.45 per patient."
44,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in the table applies), lasting at least 40 minutes and including any of the following that are clinically relevant: (a) taking an extensive patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-each attendance",125.10,
47,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies), lasting at least 40 minutes and including any of the following that are clinically relevant: (a) taking an extensive patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-an attendance on one or more patients at one place on one occasion-each patient",,"The fee for item 44, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 44 plus $2.45 per patient."
52,"Professional attendance at consulting rooms of not more than 5 minutes in duration (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",11.00,
53,"Professional attendance at consulting rooms of more than 5 minutes in duration but not more than 25 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",21.00,
54,"Professional attendance at consulting rooms of more than 25 minutes in duration but not more than 45 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",38.00,
57,"Professional attendance at consulting rooms lasting more than 45 minutes, but not more than 60 minutes (other than a service to which any other item applies) by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",61.00,
58,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies), not more than 5 minutes in duration-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,"An amount equal to $8.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $8.50 plus $.70 per patient"
59,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 5 minutes in duration but not more than 25 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,"An amount equal to $16.00, plus $17.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $16.00 plus $.70 per patient"
60,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 25 minutes in duration but not more than 45 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",,"An amount equal to $35.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $35.50 plus $.70 per patient"
65,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in this Schedule applies) lasting more than 45 minutes but not more than 60 minutes —an attendance on one or more patients at one place on one occasion—each patient, by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",,"An amount equal to $57.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $57.50 plus $0.70 per patient"
104,"Professional attendance at consulting rooms or hospital by a specialist in the practice of the specialist’s specialty after referral of the patient to the specialist—initial attendance in a single course of treatment, other than a service to which item 106, 109, 125 or 16401 applies",101.30,
105,"Professional attendance by a specialist in the practice of the specialist’s specialty following referral of the patient to the specialist—an attendance after the initial attendance in a single course of treatment, if that attendance is at consulting rooms or hospital, other than a service to which item 126 or 16404 applies",50.95,
106,"Professional attendance by a specialist in the practice of the specialist's specialty of ophthalmology and following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment) at which the only service provided is refraction testing for the issue of a prescription for spectacles or contact lenses, if that attendance is at consulting rooms or hospital (other than a service to which any of items 104, 109 and 10801 to 10816 applies)",84.05,
107,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment), if that attendance is at a place other than consulting rooms or hospital",148.65,
108,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-each attendance after the first in a single course of treatment, if that attendance is at a place other than consulting rooms or hospital",94.10,
109,"Professional attendance by a specialist in the practice of the specialist's specialty of ophthalmology following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment) at which a comprehensive eye examination, including pupil dilation, is performed on: (a) a patient aged 9 years or younger; or (b) a patient aged 14 years or younger with developmental delay; (other than a service to which any of items 104, 106 and 10801 to 10816 applies)",228.30,
110,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-initial attendance in a single course of treatment",178.70,
111,"Professional attendance at consulting rooms or in hospital by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) during the attendance, the specialist determines the need to perform an operation on the patient that had not otherwise been scheduled; and (b) the specialist subsequently performs the operation on the patient, on the same day; and (c) the operation is a service to which an item in Group T8 applies; and (d) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more For any particular patient, once only on the same day",50.95,
115,"Professional attendance at consulting rooms or in hospital on a day by a medical practitioner (the attending practitioner) who is a specialist or consultant physician in the practice of the attending practitioner’s specialty after referral of the patient to the attending practitioner by a referring practitioner—an attendance after the initial attendance in a single course of treatment, if: (a) the attending practitioner performs a scheduled operation on the patient on the same day; and (b) the operation is a service to which an item in Group T8 applies; and (c) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more; and (d) the attendance is unrelated to the scheduled operation; and (e) it is considered a clinical risk to defer the attendance to a later day For any particular patient, once only on the same day",50.95,
116,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each attendance (other than a service to which item 119 applies) after the first in a single course of treatment",89.40,
117,"Professional attendance at consulting rooms or in hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) the attendance is not a minor attendance; and (b) during the attendance, the consultant physician determines the need to perform an operation on the patient that had not otherwise been scheduled; and (c) the consultant physician subsequently performs the operation on the patient, on the same day; and (d) the operation is a service to which an item in Group T8 applies; and (e) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more For any particular patient, once only on the same day",89.40,
119,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each minor attendance after the first in a single course of treatment",50.95,
120,"Professional attendance at consulting rooms or in hospital by a consultant physician in the practice of the consultant physician’s specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner—minor attendance, if: (a) during the attendance, the consultant physician determines the need to perform an operation on the patient that had not otherwise been scheduled; and (b) the consultant physician subsequently performs the operation on the patient, on the same day; and (c) the operation is a service to which an item in Group T8 applies; and (d) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $349.95 or more For any particular patient, once only on the same day",50.95,
122,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-initial attendance in a single course of treatment",216.75,
123,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in this Schedule applies), lasting at least 60 minutes and including any of the following that are clinically relevant:(a) taking an extensive patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health related issues, with appropriate documentation",202.65,
124,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 60 minutes and including any of the following that are clinically relevant:(a) taking an extensive patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",,"The fee for item 123, plus $30.70 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - the fee for item 123 plus $2.45 per patient."
125,"Professional attendance lasting at least 45 minutes at consulting rooms or hospital, by a specialist in the practice of the specialist’s specialty of gynaecology, following referral of the patient to the specialist by a referring practitioner—initial attendance in a single course of treatment, if: (a) the specialist takes a comprehensive history, including psychosocial history and medication review; and (b) the specialist undertakes any of the following that are clinically relevant: (i) a comprehensive multi-system physical examination; (ii) consideration of multiple complex diagnoses; (iii) discussion of all treatment options available; (iv) assessment of pros and cons of each treatment option given patient characteristics and medical history; (v) consideration, discussion and provision of necessary referrals for clinically appropriate investigations or treatment; (vi) communication of a patient-centred management plan; and (c) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (d) another attendance on the patient did not take place on the same day by the specialist in the same single course of treatment",178.70,
126,"Professional attendance lasting at least 45 minutes at consulting rooms or hospital, by a specialist in the practice of the specialist’s specialty of gynaecology, following referral of the patient to the specialist by a referring practitioner—an attendance after the initial attendance in a single course of treatment, if: (a) the specialist takes a comprehensive history, including psychosocial history and medication review; and (b) the specialist reviews implemented management strategies; and (c) the specialist undertakes any of the following that are clinically relevant: (i) update of management plan; (ii) performance of a physical examination; (iii) discussion of treatment options; (iv) consideration, discussion and provision of necessary referrals; (v) provision of appropriate education; and (d) the specialist makes available to the patient or carer written documentation that outlines treatment options and information on associated risks and benefits; and (e) another attendance on the patient did not take place on the same day by the specialist in the same single course of treatment",89.40,
